year,total_anime,rated_anime,average_score,unique_genres,unique_studios
2006,161,155,6.94,19,69
2007,142,129,7.08,17,69
2008,141,129,7.11,19,59
2009,125,119,7.13,18,65
2010,112,105,7.03,17,57
2011,152,139,6.97,19,68
2012,146,140,7.13,17,74
2013,177,173,6.87,17,82
2014,204,198,6.85,19,89
2015,202,194,6.81,19,92
2016,239,230,6.69,18,101
2017,229,215,6.65,20,114
2018,240,228,6.81,19,126
2019,185,172,6.83,18,119
2020,177,169,6.81,18,110
2021,200,190,6.94,18,122
2022,199,185,7.02,19,127
2023,233,216,7.06,18,135
2024,244,222,7.07,18,144
2025,254,227,6.98,18,142
